singer,num_song,meanthumb,meansenti
ぽんきち,1,4485.66666667,-0.0407407407407
Audien,1,3445.0,0.0
Janji,5,5519.45454545,0.107353920589
Niall Horan,1,2281.5,0.155092592592
Sean Paul,1,2973.33333333,0.0074074074074
Leo Sayer,1,5133.71428571,0.00841803124411
刘允乐,1,7698.90909091,0.104812959358
BOXINBOX & LIONSIZE,1,4133.71428571,0.00816326530614
Franzl Lang,1,19333.9285714,0.0580756136954
Jesse McCartney,1,4432.33333333,-0.0242063492063
DFLV,1,4952.0,0.0384615384615
Naughty Boy,1,6562.57142857,0.084915084915
Hugel,1,1799.0,0.0
松任谷由実,1,2827.0,0.0426104676105
Sammi Sanchez,1,3720.2,0.0
Jeffree Star,1,5234.28571429,-0.0165816326531
Rocoberry,4,3593.73333333,0.0704329004328
Klaas,3,3307.33333333,-0.0666666666667
黄国俊,2,3297.6,0.161666666667
Me'Shell Ndegéocello,1,2799.5,0.0142857142857
Broken Back,1,2935.0,0.0
Gary Jules,1,2591.0,-0.204545454545
Little Big Town,1,2257.5,0.443706293706
Idina Menzel,1,5636.6,0.0285526068135
SmK,4,2533.11111111,-0.0239905688181
いとうかなこ,5,2740.92857143,0.00230158730159
中央人民广播电台少年广播合唱团,1,1733.66666667,0.135714285714
马振翔,1,1722.0,-0.153846153846
大声,1,1775.66666667,0.177777777778
K’naan,1,1825.0,0.0285714285714
Tim Tim,1,2534.5,-0.0761904761905
杜丽莎,2,1818.5,0.0561904761905
钟定一,1,1780.0,0.0
Script,1,1560.0,0.5
梁逸峰,1,3398.0,0.00520833333333
